,USAF,WBAN,STATION NAME,CTRY,ST,CALL,LAT,LON,ELEV(M),BEGIN,END,f
11226,488020,99999,SA PA                         ,VM   ,   ,      ,22.35,103.817,1581.0,1959-05-02,2021-06-01,48802099999
11227,488030,99999,LAO CAI                       ,VM   ,   ,      ,22.5,103.967,97.0,1949-05-02,2021-06-01,48803099999
11228,488060,99999,SON LA                        ,VM   ,   ,      ,21.333,103.9,676.0,1997-03-01,2021-06-01,48806099999
11229,488080,99999,CAO BANG                      ,VM   ,   ,      ,22.667,106.25,243.0,1949-05-02,2021-06-01,48808099999
11230,488100,99999,BAC CAN                       ,VM   ,   ,      ,22.15,105.833,176.0,1959-05-01,2021-06-01,48810099999
11231,488190,99999,HANOI (CITY)                  ,VM   ,   ,VVVV  ,21.033,105.833,10.0,1949-04-01,1984-08-15,48819099999
11232,488193,99999,HANOI/GIALAM                  ,VM   ,   ,VVGL  ,21.033,105.85,12.0,1984-09-09,1989-07-05,48819399999
11233,488200,99999,NOIBAI INTL                   ,VM   ,   ,VVNB  ,21.221,105.807,11.9,1958-12-01,2021-06-01,48820099999
11234,488230,99999,NAM DINH                      ,VM   ,   ,      ,20.433,106.15,3.0,1974-09-24,2021-06-01,48823099999
11235,488250,99999,HA DONG                       ,VM   ,   ,      ,20.967,105.767,7.9,1980-08-08,2021-06-01,48825099999
11236,488251,99999,CAT BI INTL ARPT/HAI PHONG    ,VM   ,   ,VVCI  ,20.819000000000003,106.725,1.8,2017-05-31,2021-06-01,48825199999
11237,488260,99999,PHU LIEN                      ,VM   ,   ,      ,20.8,106.633,116.0,1974-09-24,2021-06-01,48826099999
11238,488300,99999,LANG SON                      ,VM   ,   ,      ,21.833,106.767,263.0,1974-09-24,2021-06-01,48830099999
11239,488310,99999,THAI NGUYEN                   ,VM   ,   ,      ,21.6,105.833,32.0,1974-09-24,2021-06-01,48831099999
11240,488380,99999,MONG CAI                      ,VM   ,   ,      ,21.517,107.967,7.0,1974-09-24,2021-06-01,48838099999
11241,488390,99999,BACH LONG VI                  ,VM   ,   ,      ,20.133,107.717,56.0,1974-09-25,2021-06-01,48839099999
11242,488400,99999,THANH HOA                     ,VM   ,   ,      ,19.75,105.783,5.0,1974-09-24,2021-06-01,48840099999
11243,488430,99999,MUONG SEN                     ,VM   ,   ,      ,19.4,104.15,220.0,1980-07-10,1982-03-02,48843099999
11326,489270,99999,VIENGSAY                      ,LA   ,   ,      ,20.417,104.233,913.0,1979-07-01,2021-06-01,48927099999
11327,489280,99999,SAM-NEUA                      ,LA   ,   ,      ,20.417,104.067,1000.0,1959-08-29,2021-06-01,48928099999
12109,569890,99999,HE-KOU                        ,CH   ,   ,      ,22.5,103.95,1363.0,1956-08-20,2002-09-27,56989099999
12648,594170,99999,LONGZHOU                      ,CH   ,   ,      ,22.367,106.75,129.0,1956-08-20,2021-06-01,59417099999
12649,594270,99999,NING-MING                     ,CH   ,   ,      ,22.117,107.133,168.0,1980-10-01,1984-05-18,59427099999
12676,596260,99999,DONG-XING                     ,CH   ,   ,      ,21.55,107.967,13.0,1959-11-01,2002-12-09,59626099999
12691,597380,99999,DAO-BACH-LONG ISLAN           ,CH   ,   ,      ,20.133,107.733,58.0,1973-11-08,2002-07-31,59738099999
